cusip6,cik,name,cusip,form10KUrls
001055,4977,{'AFLAC INC'},"{'001055102', '001055952', '000105510', '001055902'}",https://www.sec.gov/Archives/edgar/data/4977/000000497723000055/0000004977-23-000055.txt
001228,1514281,{'AG MORTGAGE INVESTMENT TRUST'},{'001228501'},https://www.sec.gov/Archives/edgar/data/1514281/000151428123000020/0001514281-23-000020.txt
00123Q,1423689,"{'AGNC INVT CORP', 'AGNC Investment Corp.'}","{'00123q104', '00123Q104', '00123Q954', '00123Q904'}",https://www.sec.gov/Archives/edgar/data/1423689/000142368923000017/0001423689-23-000017.txt
00130H,874761,{'AES CORP'},"{'00130H905', '00130H955', '00130H105', '00130h105'}",https://www.sec.gov/Archives/edgar/data/874761/000087476123000010/0000874761-23-000010.txt
00164V,1514991,"{'AMC NETWORKS INC', 'AMC NETWORKS INC A'}","{'00164V103', '00164V903', '00164V953'}",https://www.sec.gov/Archives/edgar/data/1514991/000151499123000009/0001514991-23-000009.txt
00165C,1411579,"{'AMC ENTMT HLDGS INC CL A COM', 'AMC ENTMT HLDGS INC'}","{'00165C904', '00165C954', '00165C104'}",https://www.sec.gov/Archives/edgar/data/1411579/000141157923000038/0001411579-23-000038.txt
00166B,1810182,{'ALX ONCOLOGY HLDGS INC'},{'00166B105'},https://www.sec.gov/Archives/edgar/data/1810182/000095017023007013/0000950170-23-007013.txt
001744,1142750,{'AMN HEALTHCARE SVCS INC'},"{'001744951', '001744101', '001744901'}",https://www.sec.gov/Archives/edgar/data/1142750/000114275023000006/0001142750-23-000006.txt
00175J,1015383,"{'A M M O INC', 'AMMO INC'}","{'00175j107', '00175J907', '00175J957', '00175J206', '00175J107'}",https://www.sec.gov/Archives/edgar/data/1015383/000149315223021280/0001493152-23-021280.txt
00182C,1023024,{'ANI PHARMACEUTICALS INC'},"{'00182C103', '00182C953', '00182C903'}",https://www.sec.gov/Archives/edgar/data/1023024/000102302423000005/0001023024-23-000005.txt
00183L,1705110,"{'ANGI INC', 'Angi Inc Class A'}","{'00183L902', '00183L102'}",https://www.sec.gov/Archives/edgar/data/1705110/000170511023000022/0001705110-23-000022.txt
00191G,1305168,{'ARC DOCUMENT SOLUTIONS INC'},{'00191G103'},https://www.sec.gov/Archives/edgar/data/1305168/000130516823000018/0001305168-23-000018.txt
00191U,890564,"{'A S G N INC', 'ASGN INC'}","{'00191U102', '00191u102'}",https://www.sec.gov/Archives/edgar/data/890564/000089056423000004/0000890564-23-000004.txt
00206R,732717,"{'AT&T Inc.         5 PFD PFD Ser A', 'AT&T INC', 'AT & T, Inc. New'}","{'00206R508', '00206r102', '00206R902', '00206R102', '00206R952'}",https://www.sec.gov/Archives/edgar/data/732717/000073271723000011/0000732717-23-000011.txt
00211Y,907654,{'ARCA BIOPHARMA INC'},"{'00211Y906', '00211Y506', '00211Y956'}",https://www.sec.gov/Archives/edgar/data/907654/000095017023004379/0000950170-23-004379.txt
002120,1339970,"{'aTyr Pharma, Inc.'}",{'002120202'},https://www.sec.gov/Archives/edgar/data/1339970/000095017023007873/0000950170-23-007873.txt
002121,1580808,{'A10 NETWORKS INC'},"{'002121101', '002121901'}",https://www.sec.gov/Archives/edgar/data/1580808/000158080823000058/0001580808-23-000058.txt
00215F,879585,{'ATN INTL INC'},{'00215F107'},https://www.sec.gov/Archives/edgar/data/879585/000155837023003851/0001558370-23-003851.txt
